         Comprob          ord  fecha     t    debe              haber                  montos
         -------------------------------------------------------------------------------------
      1  250167405         57 01/05/2010 H                  120103020500000             404.00
      2  250167505         57 01/05/2010 H                  120104020600000              15.00
      3  250167605         57 02/05/2010 H                  120103020500000             101.00
      4  250167705         57 03/05/2010 H                  120103021200000              20.00
      5  250167805         57 03/05/2010 H                  120103020400000              82.00
      6  250167905         57 03/05/2010 H                  120103021200000              60.00
      7  250168005         57 03/05/2010 H                  120103030200000              92.50
      8  250168005         57 03/05/2010 H                  210399010200000              97.50
      9  250168105         57 03/05/2010 H                  120103030200000             147.00
     10  250168205         57 03/05/2010 H                  120103020200000               5.00
     11  250168305         57 03/05/2010 H                  120103020200000               5.00
     12  250168405         57 03/05/2010 H                  120103020200000               5.00
     13  250168505         57 03/05/2010 H                  120103021200000              50.00
     14  250168605         57 03/05/2010 H                  120103020500000            1010.00
     15  250168705         57 03/05/2010 H                  120104020100000             350.00
     16  250168805         57 03/05/2010 H                  120103020400000             152.00
     17  250168905         57 03/05/2010 H                  120103030200000             245.50
     18  250168905         57 03/05/2010 H                  210399010200000             265.50
     19  250169005         57 03/05/2010 H                  120103030200000             273.00
     20  250169105         57 03/05/2010 H                  120103030100000             635.50
     21  250169105         57 03/05/2010 H                  210399010100000             645.50
     22  250169205         57 03/05/2010 H                  120103030100000             365.00
     23  250169305         57 03/05/2010 H                  120103021400000             467.50
     25  250169305         57 03/05/2010 H                  120103021500000             293.00
     24  250169305         57 03/05/2010 H                  250199000000000             607.50
     26  250169405         57 03/05/2010 H                  120103020400000              20.00
     27  250169505         57 03/05/2010 H                  120103020500000            1010.00
   4727  260101905         57 03/05/2010 H                  110104010104000            1200.00
   4726  260101905         58 03/05/2010 D 210399090000000                              1200.00
   4728  260102005         57 03/05/2010 H                  110104010101000              432.00
   4729  260102105         57 03/05/2010 H                  110104010104000            15000.00
   4731  260102205         57 03/05/2010 H                  110104010101000             4200.00
   4730  260102205         58 03/05/2010 D 210399990000000                              4200.00
   4733  260102305         57 03/05/2010 H                  110104010104000              400.00
   4732  260102305         58 03/05/2010 D 210299000000000                               400.00
   4735  260102405         57 03/05/2010 H                  110104010101000               93.45
   4734  260102405         58 03/05/2010 D 210109010000000                                93.45
   4737  260102505         57 03/05/2010 H                  110103010601000              337.59
   4736  260102505         58 03/05/2010 D 210109010000000                               337.59
   4739  260102605         57 03/05/2010 H                  110103010601000             3829.48
   4738  260102605         58 03/05/2010 D 210109010000000                              3829.48
  10187  490144905         58 03/05/2010 D 110103010601000                               432.00
  10188  490145005         58 03/05/2010 D 110104010101000                               520.00
  10189  490145105         58 03/05/2010 D 110104010101000                               162.00
  10190  490145205         58 03/05/2010 D 110104010102000                               190.00
  10191  490145305         58 03/05/2010 D 110104010105000                               147.00
  11682  490299105         58 03/05/2010 D 110103010601000                               720.00
     28  250169605         57 04/05/2010 H                  120103030200000              151.00
     29  250169605         57 04/05/2010 H                  210399010200000              147.00
     30  250169705         57 04/05/2010 H                  120103030200000               60.00
     31  250169805         57 04/05/2010 H                  120103030100000              341.50
     32  250169805         57 04/05/2010 H                  210399010100000              333.00
     33  250169905         57 04/05/2010 H                  120103030100000               62.50
     34  250170005         57 04/05/2010 H                  120198010000000              306.00
     35  250170105         57 04/05/2010 H                  120104020100000              312.84
     36  250170205         57 04/05/2010 H                  120103020500000             1010.00
     37  250170305         57 04/05/2010 H                  120103020500000              909.00
     38  250170405         57 04/05/2010 H                  120103020500000             1010.00
     39  250170505         57 04/05/2010 H                  120103020400000              156.00
     40  250170605         57 04/05/2010 H                  120103021400000              605.00
     42  250170605         57 04/05/2010 H                  120103021500000              691.00
     43  250170605         57 04/05/2010 H                  120103021600000              159.00
     41  250170605         57 04/05/2010 H                  250199000000000              695.00
     44  250170705         57 04/05/2010 H                  120103030100000              328.00
     45  250170705         57 04/05/2010 H                  210399010100000              317.50
     46  250170805         57 04/05/2010 H                  120103030100000              300.00
     47  250170905         57 04/05/2010 H                  120103030200000              191.50
     48  250170905         57 04/05/2010 H                  210399010200000              244.50
     49  250171005         57 04/05/2010 H                  120103030200000              103.50
   4741  260102705         57 04/05/2010 H                  110104010104000              260.00
   4740  260102705         58 04/05/2010 D 210399090000000                               260.00
   4743  260102805         57 04/05/2010 H                  110104010104000              126.00
   4742  260102805         58 04/05/2010 D 210399090000000                               126.00
   4745  260102905         57 04/05/2010 H                  110104010102000             8979.80
   4744  260102905         58 04/05/2010 D 210399010100000                              8979.80
   4749  260103005         57 04/05/2010 H                  110104010102000              336.20
   4748  260103005         58 04/05/2010 D 210399080000000                               336.20
   4751  260103105         57 04/05/2010 H                  110104010101000             1240.00
   4750  260103105         58 04/05/2010 D 120505020000000                              1240.00
   4752  260103205         58 04/05/2010 D 110102020400000                               800.00
   4753  260103205         57 04/05/2010 H                  110104010101000              800.00
   4754  260103305         57 04/05/2010 H                  110104010101000            10475.49
  10192  490145405         58 04/05/2010 D 110103010601000                             10475.49
  10193  490145505         58 04/05/2010 D 110104010103000                             15000.00
  10194  490145605         58 04/05/2010 D 110104010103000                              4200.00
  10195  490145605         58 04/05/2010 H                  210399990000000             4200.00
  10196  490145705         58 04/05/2010 D 110104010101000                              1577.00
  10197  490145805         58 04/05/2010 D 110104010102000                               511.00
  10198  490145905         58 04/05/2010 D 110104010105000                               273.00
  10199  490146005         58 04/05/2010 D 110104010102000                              1281.00
  10200  490146105         58 04/05/2010 D 110104010105000                               365.00
  10201  490146205         58 04/05/2010 D 110104010103000                               763.00
  10202  490146305         58 04/05/2010 D 110104010103000                               605.00
  10203  490146405         58 04/05/2010 D 110104010101000                              1030.00
  10204  490146505         58 04/05/2010 D 110104010102000                               298.00
  10205  490146605         58 04/05/2010 D 110104010105000                                60.00
  10206  490146705         58 04/05/2010 D 110104010102000                               674.50
  10207  490146805         58 04/05/2010 D 110104010105000                                62.50
  10208  490146905         58 04/05/2010 D 110104010106000                               306.00
  10209  490147005         58 04/05/2010 D 110104020200000                               312.84
     50  250171105         57 05/05/2010 H                  120103021200000               80.00
     51  250171205         57 05/05/2010 H                  120103030200000               81.50
     52  250171205         57 05/05/2010 H                  210399010200000               92.50
     53  250171305         57 05/05/2010 H                  120103030200000               56.00
     54  250171405         57 05/05/2010 H                  120103030100000              334.50
     55  250171405         57 05/05/2010 H                  210399010100000              333.50
     56  250171505         57 05/05/2010 H                  120103030100000               20.00
     57  250171605         57 05/05/2010 H                  120198010000000              335.50
     58  250171705         57 05/05/2010 H                  120103020200000                5.00
     59  250171805         57 05/05/2010 H                  120103020200000                5.00
     60  250171905         57 05/05/2010 H                  120103020500000              101.00
     61  250172005         57 05/05/2010 H                  120103020500000              450.00
     62  250172105         57 05/05/2010 H                  120103030100000              139.00
     63  250172105         57 05/05/2010 H                  210399010100000              241.00
     64  250172205         57 05/05/2010 H                  120103030100000              318.00
     65  250172305         57 05/05/2010 H                  120103021400000               92.50
     67  250172305         57 05/05/2010 H                  120103021500000               20.00
     66  250172305         57 05/05/2010 H                  250199000000000              152.50
     68  250172405         57 05/05/2010 H                  120103030200000               95.50
     69  250172405         57 05/05/2010 H                  210399010200000              197.50
     70  250172505         57 05/05/2010 H                  120103030200000               41.00
     71  250172605         57 05/05/2010 H                  120103020400000               30.00
     72  250172705         57 05/05/2010 H                  120103020400000              278.00
   4756  260103405         57 05/05/2010 H                  110104010101000              525.20
   4755  260103405         58 05/05/2010 D 210399990000000                               525.20
   4758  260103505         57 05/05/2010 H                  110104010101000              140.00
   4757  260103505         58 05/05/2010 D 210301010100000                               140.00
   4760  260103605         57 05/05/2010 H                  110104010101000              329.90
   4759  260103605         58 05/05/2010 D 130901000000000                               329.90
   4762  260103705         57 05/05/2010 H                  110104010101000              500.00
   4761  260103705         58 05/05/2010 D 210301010100000                               500.00
   4764  260103805         57 05/05/2010 H                  110104010101000              600.00
   4763  260103805         58 05/05/2010 D 210301010100000                               600.00
   4766  260103905         57 05/05/2010 H                  110104010101000             2516.00
   4765  260103905         58 05/05/2010 D 210301010100000                              2516.00
  10210  490147105         58 05/05/2010 D 110104010101000                              3085.00
  10211  490147205         58 05/05/2010 D 110104010103000                               623.00
  10212  490147305         58 05/05/2010 D 110104010103000                                45.00
  10213  490147405         58 05/05/2010 D 110104010103000                               248.00
  10214  490147505         58 05/05/2010 D 110104010103000                              1234.00
  10215  490147605         58 05/05/2010 D 110104010102000                               645.50
  10216  490147705         58 05/05/2010 D 110104010105000                               300.00
  10217  490147805         58 05/05/2010 D 110104010102000                               436.00
  10218  490147905         58 05/05/2010 D 110104010105000                               103.50
  10219  490148005         58 05/05/2010 D 110104010101000                                80.00
  10220  490148105         58 05/05/2010 D 110104010102000                               174.00
  10221  490148205         58 05/05/2010 D 110104010105000                                56.00
  10222  490148305         58 05/05/2010 D 110104010102000                               668.00
  10223  490148405         58 05/05/2010 D 110104010105000                                20.00
